image,num_rois,mean_intensity,std_intensity
Run1TL_bottom_right.tif,795,85.8200,66.1222
Run1TL_top_left.tif,738,72.2756,60.5396
Run1TL_top_right.tif,708,71.5453,60.8647
Run1TR_bottom_left.tif,645,89.4075,68.0291
Run1TR_bottom_right.tif,643,92.9688,69.6894
Run1TR_top_left.tif,611,72.5069,62.1582
Run1TR_top_right.tif,586,74.1242,63.6877
Run20BL_bottom_left.tif,712,81.8695,67.7665
Run20BL_bottom_right.tif,753,81.3600,68.4053
Run20BL_top_left.tif,813,80.2247,68.2318
Run20BL_top_right.tif,745,79.5474,67.0610
Run20BR_bottom_left.tif,642,87.1421,68.5369
Run20BR_bottom_right.tif,555,86.4015,70.2652
Run20BR_top_left.tif,853,83.4147,67.4396
Run20BR_top_right.tif,847,82.0802,68.8609
Run20TL_bottom_left.tif,753,79.9346,65.0507
Run20TL_bottom_right.tif,739,78.9963,66.2244
Run20TL_top_left.tif,626,65.8027,59.3479
Run20TL_top_right.tif,724,65.5713,57.9399
Run20TR_bottom_left.tif,762,76.9926,64.9059
Run20TR_bottom_right.tif,756,79.8208,66.9919
Run20TR_top_left.tif,785,64.8831,57.9173
Run20TR_top_right.tif,812,65.1383,57.5297
Run21BL_bottom_left.tif,524,84.1421,69.1171
Run21BL_bottom_right.tif,600,83.9515,69.3779
Run21BL_top_left.tif,606,78.2162,66.3777
Run21BL_top_right.tif,475,80.9442,66.9436
Run21BR_bottom_left.tif,510,84.2539,69.3960
Run21BR_bottom_right.tif,621,85.4874,70.8162
Run21BR_top_left.tif,546,82.1371,69.0154
Run21BR_top_right.tif,560,82.4293,67.4915
Run21TL_bottom_left.tif,425,76.5383,64.5466
Run21TL_bottom_right.tif,505,76.5279,64.4951
Run21TL_top_left.tif,349,64.8134,60.5211
Run21TL_top_right.tif,555,68.3511,60.6417
Run21TR_bottom_left.tif,651,74.5570,64.2072
Run21TR_bottom_right.tif,686,76.7143,64.8450
Run21TR_top_left.tif,560,65.9319,59.8503
Run21TR_top_right.tif,608,65.6517,61.2838
Run22BL_bottom_left.tif,532,77.2415,64.7601
Run22BL_bottom_right.tif,660,77.1331,65.2824
Run22BL_top_left.tif,537,77.4395,64.1830
Run22BL_top_right.tif,658,75.4782,65.1307
Run22BR_bottom_left.tif,542,78.8253,65.8925
Run22BR_bottom_right.tif,551,77.8810,64.9787
Run22BR_top_left.tif,653,74.4285,63.2308
Run22BR_top_right.tif,547,74.1521,62.7854
Run22TL_bottom_left.tif,482,75.0142,63.3752
Run22TL_bottom_right.tif,618,70.6051,60.4155
Run22TL_top_left.tif,560,65.8300,63.0049
Run22TL_top_right.tif,585,67.8229,60.3216
Run22TR_bottom_left.tif,702,71.3673,62.1304
Run22TR_bottom_right.tif,537,70.9649,61.8353
Run22TR_top_left.tif,614,65.4598,59.4307
Run22TR_top_right.tif,659,65.6194,59.8618
Run23BL_bottom_left.tif,625,62.8669,56.2117
Run23BL_bottom_right.tif,558,62.3051,55.5039
Run23BL_top_left.tif,643,65.4341,57.0979
Run23BL_top_right.tif,636,64.2960,56.9625
Run23BR_bottom_left.tif,731,64.4043,56.4163
Run23BR_bottom_right.tif,766,63.0536,55.3862
Run23BR_top_left.tif,635,66.8493,57.4402
Run23BR_top_right.tif,698,64.8855,56.2750
Run23TL_bottom_left.tif,638,72.0139,60.2474
Run23TL_bottom_right.tif,616,68.6051,59.6054
Run23TL_top_left.tif,648,64.7385,57.4831
Run23TL_top_right.tif,665,65.0422,57.5657
Run23TR_bottom_left.tif,544,68.3002,59.5346
Run23TR_bottom_right.tif,624,68.6992,59.9199
Run23TR_top_left.tif,534,65.2594,57.2092
Run23TR_top_right.tif,442,64.9831,55.7179
Run24BL_bottom_left.tif,597,84.5883,71.0254
Run24BL_bottom_right.tif,547,84.5159,70.9252
Run24BL_top_left.tif,549,81.9610,68.7123
Run24BL_top_right.tif,580,80.9182,68.2014
Run24BR_bottom_left.tif,546,85.4574,72.0106
Run24BR_bottom_right.tif,477,84.1544,71.6286
Run24BR_top_left.tif,562,85.1672,71.4268
Run24BR_top_right.tif,655,83.6928,70.1435
Run24TL_bottom_left.tif,613,76.6680,67.4657
Run24TL_bottom_right.tif,526,74.3842,64.8575
Run24TL_top_left.tif,634,70.1566,63.2696
Run24TL_top_right.tif,652,65.4281,59.6936
Run24TR_bottom_left.tif,477,78.8485,67.0558
Run24TR_bottom_right.tif,567,76.5080,66.3406
Run24TR_top_left.tif,508,69.0312,62.9532
Run24TR_top_right.tif,419,69.2169,63.6773
Run25BL_bottom_left.tif,863,77.3428,63.3108
Run25BL_bottom_right.tif,715,76.9881,63.9399
Run25BL_top_left.tif,769,74.0913,60.4935
Run25BL_top_right.tif,622,72.1847,60.0222
Run25BR_bottom_left.tif,681,77.9466,64.5652
Run25BR_bottom_right.tif,777,82.4845,65.7347
Run25BR_top_left.tif,747,73.9848,62.0921
Run25BR_top_right.tif,698,77.4992,64.4563
Run25TL_bottom_left.tif,804,69.1151,57.8290
Run25TL_bottom_right.tif,596,69.7231,58.7693
Run25TL_top_left.tif,787,58.4580,54.0022
Run25TL_top_right.tif,642,61.8927,56.4017
Run25TR_bottom_left.tif,576,68.6913,59.3842
Run25TR_bottom_right.tif,568,70.3768,60.7344
Run25TR_top_left.tif,693,59.3848,54.3284
Run25TR_top_right.tif,720,59.4459,54.8867
Run26BL_bottom_left.tif,567,93.1543,74.9476
Run26BL_bottom_right.tif,672,94.8579,76.3837
Run26BL_top_left.tif,603,94.3839,75.7661
Run26BL_top_right.tif,589,95.2976,75.9435
Run26BR_bottom_left.tif,541,96.1003,75.8543
Run26BR_bottom_right.tif,695,95.1699,75.2063
Run26BR_top_left.tif,745,93.9686,75.6281
Run26BR_top_right.tif,574,96.6239,76.2098
Run26TL_bottom_left.tif,591,93.2104,75.1911
Run26TL_bottom_right.tif,624,90.8041,73.7461
Run26TL_top_left.tif,705,87.5422,71.6498
Run26TL_top_right.tif,548,87.2585,72.3242
Run26TR_bottom_left.tif,615,89.3278,73.1381
Run26TR_bottom_right.tif,636,89.6553,73.0048
Run26TR_top_left.tif,613,88.4011,72.5028
Run26TR_top_right.tif,593,84.5643,69.9367
Run27BL_bottom_left.tif,480,90.3188,73.5553
Run27BL_bottom_right.tif,519,87.9018,73.6091
Run27BL_top_left.tif,474,89.0377,72.2415
Run27BL_top_right.tif,451,85.6675,70.9758
Run27BR_bottom_left.tif,545,87.4864,72.9612
Run27BR_bottom_right.tif,538,89.0127,73.7034
Run27BR_top_left.tif,337,83.8566,69.3898
Run27BR_top_right.tif,486,87.1234,72.7608
Run27TL_bottom_left.tif,544,85.5019,71.3186
Run27TL_bottom_right.tif,428,85.2584,71.0793
Run27TL_top_left.tif,603,75.4559,65.8215
Run27TL_top_right.tif,429,76.6616,64.9913
Run27TR_bottom_left.tif,445,83.7815,69.0591
Run27TR_bottom_right.tif,466,83.4347,70.1449
Run27TR_top_left.tif,468,74.1316,65.4655
Run27TR_top_right.tif,359,78.5032,66.1635
Run28BL_bottom_left.tif,354,105.1599,83.1326
Run28BL_bottom_right.tif,518,107.0781,83.1844
Run28BL_top_left.tif,471,104.2548,82.8464
Run28BL_top_right.tif,439,99.9980,81.0999
Run28BR_bottom_left.tif,439,102.7078,81.4278
Run28BR_bottom_right.tif,452,104.7080,83.7070
Run28BR_top_left.tif,436,98.9250,81.4822
Run28BR_top_right.tif,447,99.2278,81.1177
Run28TL_bottom_left.tif,385,99.6714,79.6729
Run28TL_bottom_right.tif,403,98.6749,78.9661
Run28TL_top_left.tif,409,90.9455,76.3341
Run28TL_top_right.tif,393,89.0649,76.1006
Run28TR_bottom_left.tif,325,95.6304,78.3555
Run28TR_bottom_right.tif,558,94.9188,78.1202
Run28TR_top_left.tif,464,87.9072,74.8777
Run28TR_top_right.tif,489,87.6184,74.5989
Run29BL_bottom_left.tif,371,107.5623,83.9507
Run29BL_bottom_right.tif,286,106.7463,84.4042
Run29BL_top_left.tif,447,104.7673,82.6312
Run29BL_top_right.tif,355,103.3865,83.0288
Run29BR_bottom_left.tif,235,107.5304,84.1704
Run29BR_bottom_right.tif,370,108.6928,85.1444
Run29BR_top_left.tif,345,103.9326,82.1568
Run29BR_top_right.tif,403,106.7316,84.2417
Run29TL_bottom_left.tif,433,104.9444,82.4926
Run29TL_bottom_right.tif,341,102.0585,81.6626
Run29TL_top_left.tif,399,94.7478,79.6360
Run29TL_top_right.tif,365,96.0605,78.0782
Run29TR_bottom_left.tif,396,103.3216,82.1242
Run29TR_bottom_right.tif,367,100.6612,80.9472
Run29TR_top_left.tif,366,94.1402,78.4398
Run29TR_top_right.tif,422,94.4556,77.8145
Run2BL_bottom_left.tif,464,124.5470,88.6007
Run2BL_bottom_right.tif,634,121.0157,87.1647
Run2BL_top_left.tif,432,121.4891,88.2378
Run2BL_top_right.tif,543,120.0650,87.2077
Run2BR_bottom_left.tif,583,119.8364,87.3413
Run2BR_bottom_right.tif,560,122.9354,88.0877
Run2BR_top_left.tif,645,118.3779,85.8108
Run2BR_top_right.tif,630,120.2955,86.7891
Run2TL_bottom_left.tif,478,118.5002,85.9130
Run2TL_bottom_right.tif,627,115.9124,85.0114
Run2TL_top_left.tif,470,104.9469,82.4461
Run2TL_top_right.tif,569,100.5380,79.9441
Run2TR_bottom_left.tif,724,113.6838,84.3180
Run2TR_bottom_right.tif,599,111.7601,83.8589
Run2TR_top_left.tif,608,102.1520,81.2190
Run2TR_top_right.tif,632,100.6375,79.3148
Run30BL_bottom_left.tif,623,104.1775,78.7406
Run30BL_bottom_right.tif,655,105.1890,79.4737
Run30BL_top_left.tif,748,99.1768,77.8805
Run30BL_top_right.tif,575,102.0128,78.3705
Run30BR_bottom_left.tif,758,102.0906,79.7587
Run30BR_bottom_right.tif,692,103.9923,79.6416
Run30BR_top_left.tif,765,97.4591,76.4775
Run30BR_top_right.tif,823,98.2340,77.6967
Run30TL_bottom_left.tif,938,93.3668,73.9837
Run30TL_bottom_right.tif,791,97.9086,76.4380
Run30TL_top_left.tif,883,83.5665,71.6966
Run30TL_top_right.tif,780,85.8479,72.1749
Run30TR_bottom_left.tif,766,99.2257,77.4513
Run30TR_bottom_right.tif,882,93.2707,75.1192
Run30TR_top_left.tif,699,88.1560,73.0869
Run30TR_top_right.tif,768,87.1692,72.7475
Run31BL_bottom_left.tif,445,51.0130,42.9901
Run31BL_bottom_right.tif,482,50.9986,41.9645
Run31BL_top_left.tif,569,47.2897,39.7812
Run31BL_top_right.tif,521,47.2837,40.0064
Run31BR_bottom_left.tif,533,50.4436,42.1179
Run31BR_bottom_right.tif,429,50.4403,41.8772
Run31BR_top_left.tif,528,48.0421,40.1696
Run31BR_top_right.tif,500,49.2459,41.6915
Run31TL_bottom_left.tif,515,42.5735,37.4909
Run31TL_bottom_right.tif,470,43.6592,38.8571
Run31TL_top_left.tif,476,35.6945,34.9107
Run31TL_top_right.tif,520,34.0000,34.1432
Run31TR_bottom_left.tif,402,43.1169,37.5684
Run31TR_bottom_right.tif,418,45.3146,38.5952
Run31TR_top_left.tif,311,38.6972,35.7803
Run31TR_top_right.tif,332,37.7187,34.6557
Run32BL_bottom_left.tif,512,90.2354,70.5068
Run32BL_bottom_right.tif,475,89.0207,69.8135
Run32BL_top_left.tif,544,87.9543,69.7194
Run32BL_top_right.tif,588,90.7022,70.2146
Run32BR_bottom_left.tif,610,89.1392,69.0476
Run32BR_bottom_right.tif,562,91.6583,70.3559
Run32BR_top_left.tif,584,88.5232,69.2925
Run32BR_top_right.tif,606,86.1378,68.0768
Run32TL_bottom_left.tif,547,85.0346,66.6276
Run32TL_bottom_right.tif,500,84.7009,67.0486
Run32TL_top_left.tif,558,73.0585,61.9362
Run32TL_top_right.tif,423,74.3725,62.1433
Run32TR_bottom_left.tif,566,79.6856,63.9674
Run32TR_bottom_right.tif,489,82.8255,65.5649
Run32TR_top_left.tif,509,73.9333,61.6206
Run32TR_top_right.tif,681,72.4538,62.3822
Run33BL_bottom_left.tif,804,58.4290,47.8472
Run33BL_bottom_right.tif,727,59.7411,48.5454
Run33BL_top_left.tif,775,53.7398,44.1462
Run33BL_top_right.tif,861,55.8380,45.8371
Run33BR_bottom_left.tif,823,61.2705,49.4887
Run33BR_bottom_right.tif,820,60.4659,49.8515
Run33BR_top_left.tif,818,56.8780,46.5634
Run33BR_top_right.tif,779,57.0331,47.8072
Run33TL_bottom_left.tif,712,55.7988,46.7170
Run33TL_bottom_right.tif,679,57.9668,48.5596
Run33TL_top_left.tif,582,54.8265,48.0857
Run33TL_top_right.tif,554,53.5628,48.0659
Run33TR_bottom_left.tif,737,56.3069,47.6474
Run33TR_bottom_right.tif,789,55.0699,46.5358
Run33TR_top_left.tif,663,53.4777,47.6175
Run33TR_top_right.tif,586,52.2871,47.1541
Run34BL_bottom_left.tif,448,88.3313,73.9120
Run34BL_bottom_right.tif,425,88.7557,74.0832
Run34BL_top_left.tif,460,87.5665,73.2056
Run34BL_top_right.tif,610,87.5926,71.9074
Run34BR_bottom_left.tif,490,89.1905,74.6909
Run34BR_bottom_right.tif,482,90.8292,73.9481
Run34BR_top_left.tif,572,86.9174,73.0296
Run34BR_top_right.tif,424,88.3431,73.5102
Run34TL_bottom_left.tif,492,82.3925,69.9235
Run34TL_bottom_right.tif,489,85.8982,70.6747
Run34TL_top_left.tif,554,74.1035,65.8329
Run34TL_top_right.tif,422,75.1576,65.4394
Run34TR_bottom_left.tif,392,84.1163,71.4001
Run34TR_bottom_right.tif,566,84.5200,71.4639
Run34TR_top_left.tif,395,71.8891,65.3127
Run34TR_top_right.tif,606,69.7871,62.8070
Run35BL_bottom_left.tif,395,42.3749,38.0414
Run35BL_bottom_right.tif,345,42.6777,37.0982
Run35BL_top_left.tif,376,40.7188,37.2013
Run35BL_top_right.tif,303,40.6119,37.8243
Run35BR_bottom_left.tif,332,43.8375,38.2364
Run35BR_bottom_right.tif,332,43.8595,38.7719
Run35BR_top_left.tif,214,44.3885,38.6578
Run35BR_top_right.tif,380,43.0831,37.4391
Run35TL_bottom_left.tif,447,37.2948,35.3231
Run35TL_bottom_right.tif,318,37.8815,36.0287
Run35TL_top_left.tif,297,31.7165,32.9872
Run35TL_top_right.tif,398,30.8551,32.5248
Run35TR_bottom_left.tif,258,39.7764,36.8443
Run35TR_bottom_right.tif,345,39.8422,36.8139
Run35TR_top_left.tif,519,32.0269,33.4140
Run35TR_top_right.tif,424,33.5130,34.4633
Run36BL_bottom_left.tif,918,51.1269,44.3942
Run36BL_bottom_right.tif,939,49.2805,43.2656
Run36BL_top_left.tif,947,50.0594,44.2368
Run36BL_top_right.tif,972,48.9935,43.5303
Run36BR_bottom_left.tif,1001,46.7510,41.1906
